,Effectve Power,Recommended N,Mean R-Squared,Mean Cond. No.,Specification,Initial Pass Points,Initial Pass Iterations per Point,Second Pass Points,Second Pass Iterations per Point,Verification Iterations,Estimation Time
0,0.87,4679,0.36403532584494436,818.7464861260719,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.6349249561627706
1,0.878,4421,0.36386700069264766,819.6795968554219,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.6307752807935079
2,0.878,4471,0.3638635262090056,819.8118696268214,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.5575788100560506
3,0.866,4623,0.3641451856094927,818.7111887910924,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.5080986658732096
4,0.876,4607,0.3634029908513431,820.0520933509852,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.582253841559092
5,0.842,4413,0.36445979948108187,818.3754109909881,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.749153467019399
6,0.874,4783,0.36354366464511956,819.8159892041787,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.7030280232429504
7,0.844,4512,0.36385353985406094,819.2370866670775,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.6721800923347474
8,0.858,4546,0.3641961302224041,818.7387931740109,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.703263489405314
9,0.826,4614,0.3638864566837305,819.1359426394984,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.7004684805870056
10,0.872,4841,0.3647677690776131,818.891789859701,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.7045693476994832
11,0.872,4582,0.36376809358054163,818.9726460307297,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.7009609659512839
12,0.878,4754,0.3635603624925763,819.2653685443508,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.729022749265035
13,0.832,4184,0.36296350864196386,820.5393651068273,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.8348065614700317
14,0.884,4594,0.36297762474985207,820.2214814387805,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.771919039885203
15,0.9,5079,0.36386674705859307,819.442832562865,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.6936700185139975
16,0.85,4562,0.36446609860304496,818.6314986243453,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.6765968998273213
17,0.892,4794,0.36412269096373523,819.9009713906266,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.7395825703938803
18,0.878,4610,0.36430379976473753,819.14849592026,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.7240705529848734
19,0.878,4613,0.3635641428131306,819.4633784074912,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.6570360700289408
20,0.84,4452,0.3634374578957417,819.9532611503907,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.7030402859052023
21,0.89,4951,0.3633495904310574,819.4932567131508,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,2.034826985994975
22,0.85,4231,0.3635322974286814,819.626870765134,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.772287333011627
23,0.854,4541,0.3635633054085908,819.5084699832003,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.6581443746884663
24,0.872,4868,0.3639545822037319,819.3443068993239,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.8116825858751933
25,0.874,4802,0.3631977942359123,819.8996166192053,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.6648013591766357
26,0.868,4652,0.3629125152280124,820.8600984481383,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.6517194430033366
27,0.886,4704,0.363020586398537,820.2799991091457,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.6588778456052145
28,0.858,4480,0.3636035138769994,819.3095800853704,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.9466554721196492
29,0.862,4545,0.3637199252639726,819.7235988789685,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.764535915851593
30,0.866,4651,0.36359169697484967,820.0155811352217,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.7455067118008931
31,0.864,4722,0.36310655237410383,819.9602812613223,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.781796125570933
32,0.896,4731,0.36402939624032454,819.6014246509948,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.8158939361572266
33,0.864,4408,0.36364844662940604,820.1241180430648,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.719826098283132
34,0.902,4992,0.3633639152646725,819.6900964405124,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.7809486786524455
35,0.88,4630,0.3640034246022498,818.8832839838724,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.623500911394755
36,0.868,4547,0.3642954751059293,818.5730480995757,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.6364277680714925
37,0.908,4859,0.3631994544212894,820.0281796820976,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.5976300954818725
38,0.85,4680,0.36298642916309326,820.2021329050473,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.6020106991132101
39,0.864,4717,0.3640819587677837,818.6777197043476,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.5983231782913208
40,0.878,4605,0.36416849113555355,819.0786047087887,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.6075671871503194
41,0.882,4561,0.36301569584779403,820.6717737472186,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.611672576268514
42,0.888,4640,0.3636100110976971,819.2506737064564,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.613853120803833
43,0.872,4758,0.36457982356194907,818.3310292950234,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.6075690189997356
44,0.868,4722,0.36399612418536725,819.0030703423059,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.604363739490509
45,0.88,4687,0.36395696590010024,818.9256147146111,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.607571280002594
46,0.858,4460,0.36326382203630514,820.0137519746766,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.6032761653264365
47,0.842,4553,0.36427717412812094,818.9636995424097,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.595435412724813
48,0.868,4681,0.36402772331365957,819.3394485149522,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.5992422580718995
49,0.89,4631,0.3638628806995914,819.0152984921259,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.6108445048332214
50,0.926,5010,0.3635259087447642,819.433693512121,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.7405763824780782
51,0.884,4768,0.36328320367820327,820.0025894536385,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.7003977735837301
52,0.898,4749,0.3635255486768591,818.8797198392806,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.87787024974823
53,0.874,4425,0.36393532643739535,818.8870685840828,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.79256858030955
54,0.882,4782,0.36333266415351917,820.1469939015574,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.741420571009318
55,0.844,4363,0.3634430408518897,819.5719275782911,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.74538756608963
56,0.87,4578,0.3631503040660209,819.958861027279,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.830057394504547
57,0.838,4497,0.36366246080172926,819.1308406872336,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.7712956110636393
58,0.88,4763,0.36365940748740894,819.6702372283386,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.7318520545959473
59,0.894,4754,0.36364726669081265,818.9764084895968,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.8078349947929382
60,0.864,4653,0.36422828919898187,818.6159406319881,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.8288217385609944
61,0.87,4706,0.36338194590629874,820.5881395439009,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.8987787326176961
62,0.896,5018,0.36410565683766316,819.248605477987,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.888782755533854
63,0.866,4587,0.3633913060058273,819.52121505415,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.824797777334849
64,0.868,4707,0.3641948534569642,819.1546933404926,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.8979452093442282
65,0.872,4478,0.3635843104673223,819.6498413429265,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.849648638566335
66,0.866,4327,0.36362080856863255,819.8078633366131,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.7627589146296183
67,0.876,4281,0.36369665967804404,819.7859055327796,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.7579811215400696
68,0.846,4548,0.36373494723720823,818.9007816146793,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.8096736073493958
69,0.856,4412,0.36350015320859186,819.6135054628143,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.7984728256861369
70,0.876,4828,0.3634500401667363,820.4232558275469,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.860109814008077
71,0.886,4324,0.36412635033162677,818.7633497095696,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.8780726114908854
72,0.902,4920,0.3640677777727343,818.9088645537963,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.8480167150497437
73,0.848,4133,0.36339850856760864,819.8023445838735,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.8461278835932413
74,0.858,4483,0.3635515813173191,820.0087714274656,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.8193304697672525
75,0.858,4421,0.3650004224751923,817.6668605272481,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.851880383491516
76,0.922,4754,0.36326825544334745,820.0404804142895,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.9014904737472533
77,0.862,4619,0.3630431768851462,819.7101265716757,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.9160597364107768
78,0.864,4457,0.36334938539849365,819.8561324945449,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.7748553991317748
79,0.892,4706,0.3636799202881656,819.3180260987921,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.8640113830566407
80,0.858,4735,0.36372123466785866,819.9543446638211,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.7211784243583679
81,0.89,4568,0.36445527663133004,818.0380047050273,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.7042176167170207
82,0.874,4646,0.36436698932219974,818.6169403452365,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.6735984484354656
83,0.894,4607,0.36416376241504644,818.6623421380472,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.6882848421732584
84,0.826,4373,0.3632711576026148,819.8935820343863,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.9533165494600933
85,0.812,4239,0.36388868296559984,819.1491089983293,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.7295966386795043
86,0.862,4695,0.36405852591585025,819.1900815387637,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.86141726175944
87,0.866,4567,0.36369875819826664,819.0607958762087,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.7404382904370626
88,0.866,4600,0.3632124575177749,820.4710355665696,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.7417479594548544
89,0.842,4484,0.36358063067643404,819.4037457029337,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.7354191303253175
