,Effectve Power,Recommended N,Mean R-Squared,Mean Cond. No.,Specification,Initial Pass Points,Initial Pass Iterations per Point,Second Pass Points,Second Pass Iterations per Point,Verification Iterations,Estimation Time
0,0.886,1922,0.5928908246557217,1304.584601356919,Order_Amt = 'Treated' + 'Mean_Order_Amt' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.4688858151435853
1,0.868,1875,0.5959720066920329,1300.2195494156497,Order_Amt = 'Treated' + 'Mean_Order_Amt' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.3766952196756999
2,0.848,1814,0.6020012717931735,1294.4933903353578,Order_Amt = 'Treated' + 'Mean_Order_Amt' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.3530579725901286
3,0.846,1789,0.603641035590063,1291.6181321107608,Order_Amt = 'Treated' + 'Mean_Order_Amt' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.3404492060343425
4,0.83,1756,0.6070392330481824,1285.977940736627,Order_Amt = 'Treated' + 'Mean_Order_Amt' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.32858251730601
5,0.848,1805,0.6025505058132276,1294.497542131198,Order_Amt = 'Treated' + 'Mean_Order_Amt' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.3230841875076294
6,0.856,1787,0.603832505897584,1293.3239149654144,Order_Amt = 'Treated' + 'Mean_Order_Amt' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.363888931274414
7,0.878,1882,0.5963716613682671,1300.6283910060956,Order_Amt = 'Treated' + 'Mean_Order_Amt' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.3889679233233134
8,0.858,1802,0.6016540316753948,1293.7598005347036,Order_Amt = 'Treated' + 'Mean_Order_Amt' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.3409371693929037
9,0.868,1880,0.595273415797842,1302.825732764351,Order_Amt = 'Treated' + 'Mean_Order_Amt' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.3489677906036377
10,0.834,1798,0.6031375937745024,1294.5151970230295,Order_Amt = 'Treated' + 'Mean_Order_Amt' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.3561079422632853
11,0.892,1885,0.5947188856567082,1301.1936138876758,Order_Amt = 'Treated' + 'Mean_Order_Amt' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.3652216871579488
12,0.832,1782,0.6041843861200606,1291.393681409884,Order_Amt = 'Treated' + 'Mean_Order_Amt' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.3757723371187847
13,0.872,1813,0.6014232498466834,1292.78362892162,Order_Amt = 'Treated' + 'Mean_Order_Amt' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.3765166799227397
14,0.846,1797,0.60173401868741,1295.3591134097808,Order_Amt = 'Treated' + 'Mean_Order_Amt' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.3830738147099813
15,0.882,1912,0.5935586710900933,1306.1616996692142,Order_Amt = 'Treated' + 'Mean_Order_Amt' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.3823550820350647
16,0.91,1898,0.5929381462762666,1305.5858050793438,Order_Amt = 'Treated' + 'Mean_Order_Amt' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.394233810901642
17,0.848,1811,0.6005950871140264,1297.5444545954467,Order_Amt = 'Treated' + 'Mean_Order_Amt' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.3863605777422587
