,Effectve Power,Recommended N,Mean R-Squared,Mean Cond. No.,Specification,Initial Pass Points,Initial Pass Iterations per Point,Second Pass Points,Second Pass Iterations per Point,Verification Iterations,Estimation Time
0,0.834,6493,0.0013304285717319856,2.62076109937052,Order_Amt = 'Treated',4,200,5,200,500,1.6676964243253072
1,0.83,6536,0.0013290049700642604,2.6188125238509974,Order_Amt = 'Treated',4,200,5,200,500,1.697495154539744
2,0.826,6614,0.0013073423637733333,2.61988067035067,Order_Amt = 'Treated',4,200,5,200,500,1.7213305910428365
3,0.874,6411,0.001497985420664875,2.620909027057563,Order_Amt = 'Treated',4,200,5,200,500,1.720836583773295
4,0.846,6597,0.0013702871933773653,2.6191201949318614,Order_Amt = 'Treated',4,200,5,200,500,1.757433863480886
5,0.814,6197,0.0013765733776906091,2.619117027575179,Order_Amt = 'Treated',4,200,5,200,500,1.680242951711019
6,0.83,6689,0.0013485470663154372,2.6201544221904833,Order_Amt = 'Treated',4,200,5,200,500,1.8423135638237
7,0.832,6701,0.001450816110665633,2.6199735887120204,Order_Amt = 'Treated',4,200,5,200,500,2.0331111431121824
8,0.842,6536,0.001444539526354444,2.6200714299523407,Order_Amt = 'Treated',4,200,5,200,500,2.0386598030726115
9,0.844,6704,0.0013353775046492525,2.619820940136596,Order_Amt = 'Treated',4,200,5,200,500,1.8801493287086486
10,0.824,6146,0.0013975234537632207,2.6201935699000334,Order_Amt = 'Treated',4,200,5,200,500,2.022922925154368
11,0.852,6505,0.0014049528938320625,2.619719885643787,Order_Amt = 'Treated',4,200,5,200,500,2.091823601722717
12,0.858,6536,0.0014496699643525297,2.620316926761244,Order_Amt = 'Treated',4,200,5,200,500,1.8424245238304138
13,0.878,6571,0.0014705781885541293,2.6203823988474304,Order_Amt = 'Treated',4,200,5,200,500,2.093825427691142
14,0.868,6689,0.001392876388536285,2.618852201233316,Order_Amt = 'Treated',4,200,5,200,500,1.6860810001691182
15,0.842,6403,0.0013434848963786684,2.6199629224633503,Order_Amt = 'Treated',4,200,5,200,500,1.9357190171877543
16,0.812,6110,0.0013803910464584433,2.619327489903475,Order_Amt = 'Treated',4,200,5,200,500,1.9167258143424988
17,0.846,6451,0.0013480947274243803,2.6191575330824386,Order_Amt = 'Treated',4,200,5,200,500,1.8011501590410868
18,0.85,6597,0.001373711536150029,2.619417794806836,Order_Amt = 'Treated',4,200,5,200,500,1.8461010177930197
