,Recommended N,Time Required,Desired Power,Actual Power,Avg. R-Squared,Mean Cond. Number,Model Specification,# Points,Points,Simulations per Point,Verification Simulations
0,22106,1.0772684812545776,0.8,0.804,0.38180408132571736,4683.56481817435,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",200,500
1,23039,1.1380272189776102,0.8,0.816,0.3820032038409876,4684.400457226692,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",200,500
2,22330,1.1201777935028077,0.8,0.828,0.3817315882970293,4682.388213127193,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",200,500
3,21268,3.483352263768514,0.8,0.778,0.3820555341780093,4683.6389040274125,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",200,500
4,21580,2.4682260791460675,0.8,0.782,0.38184600041149247,4681.337832198057,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",200,500
5,21033,1.2159116824467977,0.8,0.784,0.381898016557753,4682.082726202542,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",200,500
6,22154,1.174767502148946,0.8,0.834,0.38181667150639587,4682.161065565444,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",200,500
7,22099,1.1559455633163451,0.8,0.826,0.3818431776637367,4683.573778205948,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",200,500
8,23222,1.0723573247591653,0.8,0.832,0.38158512949246187,4681.842459178917,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",200,500
9,21075,1.2736323038736979,0.8,0.788,0.3821507711582052,4681.943777958404,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",200,500
10,23217,1.018483304977417,0.8,0.85,0.38190621326146523,4682.744776985447,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",200,500
