,Recommended N,Time Required,Desired Power,Actual Power,Avg. R-Squared,Mean Cond. Number,Model Specification,# Points,Points,Simulations per Point,Verification Simulations
0,22177,0.2577135523160299,0.8,0.822,0.3819312620566935,4683.931146059133,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',3,"[30000, 40000, 50000]",100,500
1,23188,0.28150238196055094,0.8,0.824,0.38164691217508223,4684.6962672253485,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',3,"[30000, 40000, 50000]",100,500
2,22499,0.28488343556722007,0.8,0.804,0.38223697048919125,4681.626084228124,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',3,"[30000, 40000, 50000]",100,500
3,23855,0.2834238290786743,0.8,0.848,0.381858113898347,4684.872707157745,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',3,"[30000, 40000, 50000]",100,500
4,22030,0.2677355448404948,0.8,0.8,0.3818807335796413,4682.474734837795,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',3,"[30000, 40000, 50000]",100,500
5,19443,0.2531657338142395,0.8,0.744,0.3815848489111931,4684.310668088042,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',3,"[30000, 40000, 50000]",100,500
6,22725,0.32426222960154216,0.8,0.796,0.38234281533253417,4681.827633081881,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',3,"[30000, 40000, 50000]",100,500
7,19927,0.24568540652592977,0.8,0.778,0.3822205760046032,4683.5581970835765,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',3,"[30000, 40000, 50000]",100,500
8,24507,0.2510410745938619,0.8,0.846,0.3818158285891537,4682.549577692006,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',3,"[30000, 40000, 50000]",100,500
9,24926,0.28216565450032555,0.8,0.832,0.38164266292284216,4681.278081456178,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',3,"[30000, 40000, 50000]",100,500
10,22252,0.2463823358217875,0.8,0.848,0.38219891220713526,4683.642716708015,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',3,"[30000, 40000, 50000]",100,500
11,23674,0.2455861488978068,0.8,0.862,0.3821906240051781,4682.225846154446,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',3,"[30000, 40000, 50000]",100,500
12,18014,0.2893014868100484,0.8,0.758,0.3821421735801728,4683.856571495423,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',3,"[30000, 40000, 50000]",100,500
13,9135,0.26299002567927043,0.8,0.438,0.3815952860386429,4682.2192639263585,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',3,"[30000, 40000, 50000]",100,500
14,22730,0.2463728388150533,0.8,0.82,0.38173139173912546,4683.680158468934,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',3,"[30000, 40000, 50000]",100,500
15,24707,0.27801136175791424,0.8,0.864,0.3816398240142548,4684.1111661045425,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',3,"[30000, 40000, 50000]",100,500
16,21484,0.24911131461461386,0.8,0.8,0.3817019598811502,4682.033276782732,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',3,"[30000, 40000, 50000]",100,500
17,19927,0.25591127475102743,0.8,0.762,0.38217137552392755,4682.782239357606,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',3,"[30000, 40000, 50000]",100,500
18,27686,0.2602630019187927,0.8,0.86,0.381796798252009,4683.372894566075,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',3,"[30000, 40000, 50000]",100,500
19,12704,0.2566377242406209,0.8,0.566,0.38139840861385627,4684.850755774012,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',3,"[30000, 40000, 50000]",100,500
20,24480,0.2580802003542582,0.8,0.868,0.3818199793142039,4684.820943408057,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',3,"[30000, 40000, 50000]",100,500
21,27960,0.26533294916152955,0.8,0.894,0.3817812011885017,4683.8371414223175,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',3,"[30000, 40000, 50000]",100,500
22,13135,0.26595543225606283,0.8,0.588,0.38196418189605075,4683.930675982428,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',3,"[30000, 40000, 50000]",100,500
23,18837,0.2564462145169576,0.8,0.764,0.3817218668442855,4684.2778130381475,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',3,"[30000, 40000, 50000]",100,500
24,22294,0.2624401132265727,0.8,0.874,0.3819458375992394,4682.814344267469,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',3,"[30000, 40000, 50000]",100,500
25,7343,0.2605534633000692,0.8,0.4,0.38143498830492956,4684.263187017948,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',3,"[30000, 40000, 50000]",100,500
26,12397,0.26027456521987913,0.8,0.608,0.38178924022750843,4682.417820017308,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',3,"[30000, 40000, 50000]",100,500
27,20733,0.2615614374478658,0.8,0.772,0.38204219306354514,4683.370114734558,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',3,"[30000, 40000, 50000]",100,500
28,23916,0.2633033235867818,0.8,0.868,0.3817813788338509,4681.863963330204,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',3,"[30000, 40000, 50000]",100,500
29,23678,0.2630224823951721,0.8,0.844,0.38205940792515736,4682.785499865793,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',3,"[30000, 40000, 50000]",100,500
30,25586,0.263320779800415,0.8,0.874,0.38170483978178943,4684.390500642723,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',3,"[30000, 40000, 50000]",100,500
31,11545,0.27926659981409707,0.8,0.594,0.38198876784508484,4685.6897662531455,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',3,"[30000, 40000, 50000]",100,500
32,18188,0.26419831116994225,0.8,0.754,0.38168342481021417,4683.263946053317,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',3,"[30000, 40000, 50000]",100,500
33,19682,0.26426737705866493,0.8,0.766,0.38212888312579746,4683.846919151914,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',3,"[30000, 40000, 50000]",100,500
